UID        PID  PPID  C STIME TTY          TIME CMD
anonymized   4554  4499  2 Oct28 ?        01:55:45 /usr/share/code/code --type=renderer --disable-color-correct-rendering --no-sandbox --field-trial-handle=12160288744938646903,1100927733753272460,131072 --enable-features=WebComponentsV0Enabled --disable-features=SpareRendererForSitePerProcess --lang=en-US --enable-crash-reporter=bfde6216-54b1-47fa-a972-c75b1fc3c307,no_channel --global-crash-keys=bfde6216-54b1-47fa-a972-c75b1fc3c307,no_channel,_companyName=Microsoft,_productName=VSCode,_version=1.49.2 --standard-schemes=vscode-webview,vscode-webview-resource --secure-schemes=vscode-webview,vscode-webview-resource --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-webview-resource --fetch-schemes=vscode-webview,vscode-webview-resource --service-worker-schemes --app-path=/usr/share/code/resources/app --node-integration --webview-tag --no-sandbox --no-zygote --native-window-open --preload=/usr/share/code/resources/app/out/vs/base/parts/sandbox/electron-browser/preload.js --background-color=#1e1e1e --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=5 --no-v8-untrusted-code-mitigations --shared-files=v8_snapshot_data:100
anonymized   4585  4554  0 Oct28 ?        00:07:47 /usr/share/code/code --inspect-port=0 /usr/share/code/resources/app/out/bootstrap-fork --type=extensionHost
anonymized   4601  4499  0 Oct28 ?        00:01:16 /usr/share/code/code --type=renderer --disable-color-correct-rendering --no-sandbox --field-trial-handle=12160288744938646903,1100927733753272460,131072 --enable-features=WebComponentsV0Enabled --disable-features=SpareRendererForSitePerProcess --lang=en-US --enable-crash-reporter=bfde6216-54b1-47fa-a972-c75b1fc3c307,no_channel --global-crash-keys=bfde6216-54b1-47fa-a972-c75b1fc3c307,no_channel,_companyName=Microsoft,_productName=VSCode,_version=1.49.2 --standard-schemes=vscode-webview,vscode-webview-resource --secure-schemes=vscode-webview,vscode-webview-resource --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-webview-resource --fetch-schemes=vscode-webview,vscode-webview-resource --service-worker-schemes --app-path=/usr/share/code/resources/app --node-integration --no-sandbox --no-zygote --native-window-open --preload=/usr/share/code/resources/app/out/vs/base/parts/sandbox/electron-browser/preload.js --background-color=#1e1e1e --disable-blink-features=Auxclick --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7 --no-v8-untrusted-code-mitigations --shared-files=v8_snapshot_data:100
anonymized   4635  4554  0 Oct28 ?        00:00:25 /usr/share/code/code /usr/share/code/resources/app/out/bootstrap-fork --type=watcherService
anonymized   4654  4554  0 Oct29 pts/22   00:00:00 /bin/bash
anonymized   4693  9368  2 Oct28 ?        01:40:13 /usr/lib/firefox/firefox
anonymized   4765  4693  0 Oct28 ?        00:01:13 /usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 1 -prefMapSize 228495 -parentBuildID 20201014125134 -appdir /usr/lib/firefox/browser 4693 true tab
anonymized   4816  4693  0 Oct28 ?        00:02:55 /usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 6324 -prefMapSize 228495 -parentBuildID 20201014125134 -appdir /usr/lib/firefox/browser 4693 true tab
anonymized   4910  4693  0 Oct28 ?        00:32:35 /usr/lib/firefox/firefox -contentproc -childID 4 -isForBrowser -prefsLen 9211 -prefMapSize 228495 -parentBuildID 20201014125134 -appdir /usr/lib/firefox/browser 4693 true tab
anonymized   5027  4585  0 Oct28 ?        00:07:47 /home/anonymized/.vscode/extensions/ms-vscode.cpptools-1.0.1/bin/cpptools
anonymized   6360  4693  0 Oct28 ?        00:38:07 /usr/lib/firefox/firefox -contentproc -childID 6 -isForBrowser -prefsLen 9541 -prefMapSize 228495 -parentBuildID 20201014125134 -appdir /usr/lib/firefox/browser 4693 true tab
anonymized   6439  4693  3 Oct28 ?        03:01:36 /usr/lib/firefox/firefox -contentproc -childID 7 -isForBrowser -prefsLen 9541 -prefMapSize 228495 -parentBuildID 20201014125134 -appdir /usr/lib/firefox/browser 4693 true tab
